"","region","year","est.pred","se.pred","ci.pred.lower","ci.pred.upper","est.real","se.real","ci.real.lower","ci.real.upper","surveyed"
"123","W ALEU",2012,201.844081039135,15.2242145060242,177.868871739515,225.547862829353,200,0,200,200,1
"124","W ALEU",2013,192.864511300476,14.8808882674507,171.034113177243,217.428702323222,203,0,203,203,1
"125","W ALEU",2014,186.215476173548,14.3923162768308,164.646721039056,210.202706139451,174,0,174,174,1
"126","W ALEU",2015,182.076028986515,14.4852302510936,160.035611179448,205.492645997333,182.076028986515,14.4852302510936,160.035611179448,205.492645997333,0
"127","W ALEU",2016,179.715710025408,14.3555164778708,157.575678418838,202.280891741887,199,0,199,199,1
"128","W ALEU",2017,178.899283733505,14.8132883832064,155.763077364149,202.385108051299,177.100770976704,14.3012835664962,155.577857463652,200.311834142533,1
"129","W ALEU",2018,179.215128233247,16.2031789694653,154.299478866612,205.988814833065,170,1.13310729783232,170,172.017258302394,1
"130","W ALEU",2019,180.925308657386,19.1469670911412,150.61281519006,212.170318312015,180.925308657386,19.1469670911412,150.61281519006,212.170318312015,0
"131","W ALEU",2020,183.553302307348,23.1627400868091,145.920756907593,220.380977331458,183.553302307348,23.1627400868091,145.920756907593,220.380977331458,0
"132","W ALEU",2021,186.140374440235,28.6644370045733,141.185034250744,232.502766638207,186.140374440235,28.6644370045733,141.185034250744,232.502766638207,0
"133","W GULF",1978,17696.0153141683,263331.037410778,7387.42138713696,83273.2072301101,16768.9247617586,263337.898580508,7284.82554543656,82541.6384519809,1
"134","W GULF",1979,14983.392367169,119805.546425063,7662.08533505966,53854.2746459365,15963.2428305595,119813.927820087,9546.41374328598,54448.8334927755,1
"135","W GULF",1980,12988.9913938742,57770.1924793778,7531.48833889247,36896.7266659266,12988.9913938742,57770.1924793778,7531.48833889247,36896.7266659266,0
"136","W GULF",1981,11328.793787437,29304.103936853,6956.00277917152,26212.8683877484,11328.793787437,29304.103936853,6956.00277917152,26212.8683877484,0
"137","W GULF",1982,9815.2088463245,15713.6521395906,6617.73212251165,19487.2728865556,9815.2088463245,15713.6521395906,6617.73212251165,19487.2728865556,0
"138","W GULF",1983,8453.78627289573,8886.96469857495,5835.89965229852,14716.5134812231,8453.78627289573,8886.96469857495,5835.89965229852,14716.5134812231,0
"139","W GULF",1984,7227.96750648295,5255.30168189113,5185.23664781344,11396.963875455,7316.70183571199,5241.44700084101,5849.90890116798,11422.2254617762,1
"140","W GULF",1985,6136.29438609824,3284.29221057975,4563.98097482597,9127.01252093625,6136.29438609824,3284.29221057975,4563.98097482597,9127.01252093625,0
"141","W GULF",1986,5216.62659066941,2124.37096158363,3953.63883578601,7299.12343791703,5146.97854161364,2107.24221669257,4134.59664113206,7243.60466373682,1
"142","W GULF",1987,4451.10987277022,1434.93948565717,3436.603681424,6042.76440317972,4451.10987277022,1434.93948565717,3436.603681424,6042.76440317972,0
"143","W GULF",1988,3825.84173870726,1036.13458367307,3016.26843251652,5050.22256720751,3825.84173870726,1036.13458367307,3016.26843251652,5050.22256720751,0
"144","W GULF",1989,3314.05325079962,738.582721773309,2607.05063041814,4245.95165962024,3314.05325079962,738.582721773309,2607.05063041814,4245.95165962024,0
"145","W GULF",1990,2912.0435069778,550.432369421418,2363.46612448784,3698.57320416249,2768.1041135566,534.492008597955,2290.15733566812,3496.18508283403,1
"146","W GULF",1991,2593.53691401208,423.838784961159,2120.48975598503,3211.80452580062,2535.89865573805,401.155101802201,2159.91483484041,3122.02865962748,1
"147","W GULF",1992,2348.53626111568,334.304572391704,1929.43342665078,2854.74731316849,2294.73195712598,325.89953874577,1905.61853440139,2786.05259932981,1
"148","W GULF",1993,2164.5860410391,269.102004679039,1808.73387920305,2588.51860481227,2216.01731943924,260.628184370246,1876.53757880964,2617.56391548061,1
"149","W GULF",1994,2012.76107137732,221.083561552469,1716.15432307638,2393.02885832155,2018.78228805387,182.027351946489,1798.51254338592,2298.14548880173,1
"150","W GULF",1995,1900.37051779327,189.58392038647,1603.79663530961,2201.40036193501,1900.37051779327,189.58392038647,1603.79663530961,2201.40036193501,0
"151","W GULF",1996,1820.11038949326,164.809530962767,1569.89411182993,2096.25529675752,1875.33503749216,144.077595027157,1659.81711317299,2110.84492734703,1
"152","W GULF",1997,1756.0391749195,147.883943912618,1519.6078716321,1998.22232567522,1756.0391749195,147.883943912618,1519.6078716321,1998.22232567522,0
"153","W GULF",1998,1717.90058078904,133.277227996707,1513.74507716922,1947.41187108694,1753.15436733802,74.2803062162297,1639.73169917491,1869.40618211155,1
"154","W GULF",1999,1698.40610639454,123.807521386826,1490.40412814868,1897.21580222327,1698.40610639454,123.807521386826,1490.40412814868,1897.21580222327,0
"155","W GULF",2000,1698.40737596011,117.764444465284,1501.51746858017,1887.33578370405,1712.45890981096,77.8798166088005,1591.94921183551,1843.72110031676,1
"156","W GULF",2001,1720.06918994109,114.647946226989,1535.95635318122,1912.65190871848,1577.32592554487,27.6404832133586,1541.34915658607,1621.29891374329,1
"157","W GULF",2002,1760.45923124418,114.989138780741,1577.59772864846,1952.3212204109,1904.70080954339,56.3956112151896,1817.10024700554,2000.36611535367,1
"158","W GULF",2003,1819.77834526592,117.340501068903,1621.62244908835,2004.78712020448,1594.71777543787,65.9603495074066,1486.25583199833,1701.60130049521,1
"159","W GULF",2004,1893.52403504922,120.738769620488,1692.34250283319,2085.17945308183,1932.19646412768,68.9124602445964,1819.82193640017,2045.37880713394,1
"160","W GULF",2005,1988.62912924828,126.080166556821,1787.17127499362,2199.76457186643,2016.06918279138,9.00479705381378,2005.81368852183,2029.2674028898,1
"161","W GULF",2006,2095.06317843596,132.400985353907,1883.30797508124,2312.92598440609,2095.06317843596,132.400985353907,1883.30797508124,2312.92598440609,0
"162","W GULF",2007,2205.58880247103,138.283811672385,1975.49661861986,2427.53803222462,2205.58880247103,138.283811672385,1975.49661861986,2427.53803222462,0
"163","W GULF",2008,2318.53709413592,144.055362954786,2075.64137848375,2548.13376353634,2318.53709413592,144.055362954786,2075.64137848375,2548.13376353634,0
"164","W GULF",2009,2422.82915910367,149.951445905438,2177.90861893844,2670.75354104657,2490.38938027396,4.39396506846483,2483.8955127295,2497.16295953906,1
"165","W GULF",2010,2513.8806971726,154.278365874958,2262.38439785997,2764.54681468751,2513.8806971726,154.278365874958,2262.38439785997,2764.54681468751,0
"166","W GULF",2011,2589.43363018471,153.278486986776,2350.60123036671,2849.36563692935,2668.69636456645,1.71226573423203,2667,2671.24986640683,1
"167","W GULF",2012,2649.73346951963,156.488662803732,2397.16431694828,2910.07520633721,2649.73346951963,156.488662803732,2397.16431694828,2910.07520633721,0
"168","W GULF",2013,2693.95541325958,155.178298069218,2451.18242401389,2960.21686435949,2741.61608976509,1.35359888431142,2740,2743.66806301095,1
"169","W GULF",2014,2725.30998916136,159.195949991296,2455.85101090528,2980.19351817096,2523.49371838238,13.8351569912092,2503.9797742328,2546.67034153476,1
